Lista domini 1,lista domini 2,percentuale di sovrapposizione lista 1,percentuale di sovrapposizione lista 2,entry lista 1,entry lista 2
cybercrime,iscscan,0,0,4176,4163
cybercrime,kleissner,0,0,4176,2000
cybercrime,malcode,0,0,4176,316
cybercrime,malwareblacklist,0.0017,0.0027,4176,2611
cybercrime,malwarecom-br,0.0019,0.0008,4176,10398
cybercrime,malwaredomainlist,0,0,4176,1273
cybercrime,malwaredomains,0.0002,0.0000,4176,50007
cybercrime,malwareurls,0.0031,0.0117,4176,1110
cybercrime,malwered,0.0639,0.3787,4176,705
cybercrime,urlblacklist,0.3891,0.0009,4176,1821297
cybercrime,vxvault,0.0644,0.0145,4176,18561
cybercrime,zeus,0.0086,0.3303,4176,109
iscscan,kleissner,0,0,4163,2000
iscscan,malcode,0,0,4163,316
iscscan,malwareblacklist,0,0,4163,2611
iscscan,malwarecom-br,0,0,4163,10398
iscscan,malwaredomainlist,0,0,4163,1273
iscscan,malwaredomains,0,0,4163,50007
iscscan,malwareurls,0,0,4163,1110
iscscan,malwered,0,0,4163,705
iscscan,urlblacklist,0.0002,0.0000,4163,1821297
iscscan,vxvault,0,0,4163,18561
iscscan,zeus,0,0,4163,109
kleissner,malcode,0,0,2000,316
kleissner,malwareblacklist,0,0,2000,2611
kleissner,malwarecom-br,0,0,2000,10398
kleissner,malwaredomainlist,0,0,2000,1273
kleissner,malwaredomains,0,0,2000,50007
kleissner,malwareurls,0,0,2000,1110
kleissner,malwered,0,0,2000,705
kleissner,urlblacklist,0,0,2000,1821297
kleissner,vxvault,0,0,2000,18561
kleissner,zeus,0,0,2000,109
malcode,malwareblacklist,0,0,316,2611
malcode,malwarecom-br,0,0,316,10398
malcode,malwaredomainlist,0,0,316,1273
malcode,malwaredomains,0.1076,0,316,50007
malcode,malwareurls,0,0,316,1110
malcode,malwered,0,0,316,705
malcode,urlblacklist,0,0,316,1821297
malcode,vxvault,0,0,316,18561
malcode,zeus,0,0,316,109
malwareblacklist,malwarecom-br,0.0440,0.0111,2611,10398
malwareblacklist,malwaredomainlist,0,0,2611,1273
malwareblacklist,malwaredomains,0,0,2611,50007
malwareblacklist,malwareurls,0.0027,0.0063,2611,1110
malwareblacklist,malwered,0.0023,0.0085,2611,705
malwareblacklist,urlblacklist,0.0352,0.0001,2611,1821297
malwareblacklist,vxvault,0.0636,0.0089,2611,18561
malwareblacklist,zeus,0,0,2611,109
malwarecom-br,malwaredomainlist,0,0,10398,1273
malwarecom-br,malwaredomains,0,0,10398,50007
malwarecom-br,malwareurls,0.0081,0.0757,10398,1110
malwarecom-br,malwered,0.0004,0.0057,10398,705
malwarecom-br,urlblacklist,0.0410,0.0002,10398,1821297
malwarecom-br,vxvault,0.0139,0.0078,10398,18561
malwarecom-br,zeus,0,0,10398,109
malwaredomainlist,malwaredomains,0,0,1273,50007
malwaredomainlist,malwareurls,0,0,1273,1110
malwaredomainlist,malwered,0,0,1273,705
malwaredomainlist,urlblacklist,0,0,1273,1821297
malwaredomainlist,vxvault,0,0,1273,18561
malwaredomainlist,zeus,0,0,1273,109
malwaredomains,malwareurls,0,0,50007,1110
malwaredomains,malwered,0.0000,0.0028,50007,705
malwaredomains,urlblacklist,0.0006,0.0000,50007,1821297
malwaredomains,vxvault,0.0000,0.0001,50007,18561
malwaredomains,zeus,0.0000,0.0092,50007,109
malwareurls,malwered,0,0,1110,705
malwareurls,urlblacklist,0.2640,0.0002,1110,1821297
malwareurls,vxvault,0.0279,0.0017,1110,18561
malwareurls,zeus,0.0018,0.0183,1110,109
malwered,urlblacklist,0.3021,0.0001,705,1821297
malwered,vxvault,0.0553,0.0021,705,18561
malwered,zeus,0.0057,0.0367,705,109
urlblacklist,vxvault,0.0007,0.0697,1821297,18561
urlblacklist,zeus,0.0001,0.9633,1821297,109
vxvault,zeus,0.0002,0.0367,18561,109
