Lista ip 1,lista ip 2,percentuale di sovrapposizione lista 1,percentuale di sovrapposizione lista 2,entry lista 1,entry lista 2
blocklist,clean-mx,0,0,21152,104
blocklist,malcode,0.0001,0.0047,21152,429
blocklist,malwareblacklist,0,0,21152,1096
blocklist,malwarecom-br,0.0000,0.0030,21152,336
blocklist,malwaredomainlist,0.0001,0.0024,21152,1225
blocklist,openbl,0.0425,0.0122,21152,74051
blocklist,urlblacklist,0.0034,0.0003,21152,262345
blocklist,vxvault,0,0,21152
blocklist,zeus,0.0000,0.0039,21152,254
clean-mx,malcode,0.0673,0.0163,104,429
clean-mx,malwareblacklist,0.0192,0.0018,104,1096
clean-mx,malwarecom-br,0.0288,0.0089,104,336
clean-mx,malwaredomainlist,0,0,104,1225
clean-mx,openbl,0,0,104,74051
clean-mx,urlblacklist,0.0096,0.0000,104,262345
clean-mx,vxvault,0,0,104
clean-mx,zeus,0,0,104,254
malcode,malwareblacklist,0.0326,0.0128,429,1096
malcode,malwarecom-br,0.0233,0.0298,429,336
malcode,malwaredomainlist,0.0909,0.0318,429,1225
malcode,openbl,0,0,429,74051
malcode,urlblacklist,0.0093,0.0000,429,262345
malcode,vxvault,0,0,429
malcode,zeus,0.0023,0.0039,429,254
malwareblacklist,malwarecom-br,0.0109,0.0357,1096,336
malwareblacklist,malwaredomainlist,0.0319,0.0286,1096,1225
malwareblacklist,openbl,0.0082,0.0001,1096,74051
malwareblacklist,urlblacklist,0.0082,0.0000,1096,262345
malwareblacklist,vxvault,0,0,1096,6256
malwareblacklist,zeus,0,0,1096,254
malwarecom-br,malwaredomainlist,0.0089,0.0024,336,1225
malwarecom-br,openbl,0.0119,0.0001,336,74051
malwarecom-br,urlblacklist,0,0,336,262345
malwarecom-br,vxvault,0,0,336,6256
malwarecom-br,zeus,0.0030,0.0039,336,254
malwaredomainlist,openbl,0.0033,0.0001,1225,74051
malwaredomainlist,urlblacklist,0.0155,0.0001,1225,262345
malwaredomainlist,vxvault,0,0,1225,6256
malwaredomainlist,zeus,0.0008,0.0039,1225,254
openbl,urlblacklist,0.0008,0.0002,74051,262345
openbl,vxvault,0,0,74051,6256
openbl,zeus,0.0000,0.0118,74051,254
urlblacklist,vxvault,0,0,262345,6256
urlblacklist,zeus,0.0009,0.9173,262345,254
vxvault,zeus,0,0,6256,254
