URL FONTE,IP/Domain/URL,Reputazione Iniziale,Valutazione reputazione media,Reputazione Media Lista,% report sul campione VT(#200),FREQ. AGGIORNAMENTO,n ENTRIES,Facilita download,Download aggiorn xml rsync,Credibilita,Risultato,Risultato %
Zeustracker,Domain,NO,1,0.0454,0.7600,7,3,3,SI,7,4.3000,0.2363
http://malc0de.com/database/,Domain,NO,1,0.0582,0.9950,3,7,1,SI,3,2.5000,0.1374
https://isc.sans.edu/suspicious_domains.html,Domain,SI,1,0.1245,1,3,7,3,SI,3,2.9000,0.1593
http://www.malwaredomainlist.com/mdl.php,Domain,NO,1,0.0924,0.9950,3,3,1,SI,3,2.1000,0.1154
http://support.clean-mx.de/clean-mx/viruses,Domain,SI,1,0.0379,0.5550,1,7,3,SI,3,2.1000,0.1154
http://malwareurls.joxeankoret.com/domains.txt,Domain,NO,1,0.0733,0.9950,3,3,3,SI,1,2.4000,0.1319
http://www.kleissner.org/text/ZeuSGameover_Domains.txt,Domain,NO,1,0,0,1,3,3,SI,7,1.9000,0.1044
PESI,,,0.2500,,,0.4000,0.1000,0.2000,,0.0500,18.2000
VOTO,REPUTAZIONE  LISTA,FREQ. AGGIORNAMENTO,n ENTRIES,Facilita download,Affidabilita
LOW = 1,<40%,settimanale,0-5000,parsing,nessuna notizia
MEDIUM = 3,40-70%,giornaliera,5000-25000,downolad file,"partner minori, usa virus total"
HIGH = 7,> 70%,real-time,>25000,API-rsync,partner forti o è uno std usato da altri
