URL FONTE,REPUTAZIONE,FREQ. AGGIORN,n ENTRIES,Facilita download,Affidabilita,Ultimo aggiornamento,Risultato
http://virusshare.com/,5,3,5,3,3,4,3.8000
https://sslbl.abuse.ch/blacklist/,1,5,3,3,3,5,3.6000
http://www.threatexpert.com/,,,1,,,,0.1000
http://www.securitymonitoringblog.de/,1,1,4,2,2,1,1.5000
http://vxvault.siri-urz.net/ViriList.php,4,5,4,1,3,5,4.1000
http://support.clean-mx.de/clean-mx/viruses.php,,,4,3,2,,0.9000
http://www.nothink.org/honeypots/malware_md5_list.txt,,4,4,2,2,5,3
https://malwr.com/analysis/,4,5,4,1,3,5,4.1000
http://www.fakeavs.com/,,3,4,2,2,5,2.7000
http://virussign.com/downloads.html,,,,,,,0
http://malwaredb.malekal.com/,,,,,,,0
http://www.blade-defender.org/eval-lab/,4,1,2,1,2,1,1.8000
http://sanesecurity.com/usage/windows-scripts/,,,,,,,0
http://scan.xecure-lab.com/,4,5,3,2,2,,3
http://doc.emergingthreats.net/,0,0,0,,,,0
http://www.spamhaus.org/zen/,,,,,,,0
,0.2000,0.3000,0.1000,0.1000,0.1000,0.2000
,,,,facilita download,,,Scala del voto
,,,,1,tabelle non selezionabili,,1,molto basso
,,,,2,tabelle selezionabili,,2,basso
,,,,3,dowload manuale copia ed incolla,,3,suffic
,,,,4,dowload file [zip]  xml o csv,,4,buono
,,,,5,rsync/API,,5,ottimo
,,,,,,,Pesi
,,,,,,,0.3000,fondamentale
,,,,,,,0.2000,rilevante
,,,,,,,0.1000,non trascurabile
