URL FONTE,REPUTAZIONE,FREQ. AGGIORN,n ENTRIES,Facilita download,Affidabilita,Ultimo aggiornamento,Risultato
zeustracker.abuse.ch,4,5,4,3,4,5,4.4000
http://www.spamhaus.org/zen/,1,5,,,4,5,3.1000
http://malc0de.com/database/,5,4,5,2,4,5,4.3000
www.malwareblacklist.com/showMDL.php,1,5,5,2,4,4,3.6000
https://isc.sans.edu/suspicious_domains.html,2,,3,3,3,,1.3000
http://www.malwaredomainlist.com/mdl.php,1,2,2,2,3,3,2.1000
www.malware.com.br/lists.shtml,,,,,,,0
http://support.clean-mx.de/clean-mx/viruses,4,5,5,5,4,5,4.7000
www.malwaredomains.com,,4,5,4,3,3,3.0000
http://atlas.arbor.net/,,5,,3,,5,2.8000
http://www.projecthoneypot.org/,2,3,2,2,4,5,3.1000
http://malwared.ru/db/index.php?page=1,4,4,3,5,3,2,3.5000
http://www.shadowserver.org/wiki/,,,,,,,0
http://urlblacklist.com/,2,5,,5,3,5,3.7000
http://malwareurls.joxeankoret.com/domains.txt,,,3,3,,3,1.2000
https://www.spyeyetracker.abuse.ch/,5,5,,4,5,,3.4000
http://www.kleissner.org/text/ZeuSGameover_Domains.txt,,,3,3,3,2,1.3000
http://labs.sucuri.net/?malware,,5,2,2,,2,2.3000
http://www.blocklist.de/,,,,,,,0
https://www.stopbadware.org/top-50,,,1,2,4,5,1.7000
https://palevotracker.abuse.ch/,,1,,,,1,0.5000
http://www.openbl.org/lists.html,,4,4,3,,5,2.9000
http://blog.urlvoid.com/247/new-list-of-dangerous-websites-to-avoid/,5,1,2,1,3,1,2.1000
http://www.spamrats.com/lists.php,,,,,,,0
http://www.ipdeny.com/ipblocks/,,,,,,,0
http://multirbl.valli.org/list/,,,,,,,0
http://cybercrime-tracker.net/,4,4,3,2,,5,3.5000
,0.2000,0.3000,0.1000,0.1000,0.1000,0.2000
,,,facilita download,,,Scala del voto
,,,1,tabelle non selezionabili,,1,molto basso
,,,2,tabelle selezionabili,,2,basso
,,,3,dowload manuale copia ed incolla,,3,suffic
,,,4,dowload file [zip]  xml o csv,,4,buono
,,,5,rsync/API,,5,ottimo
,,,,,,Pesi
,,,,,,0.3000,fondamentale
,,,,,,0.2000,rilevante
,,,,,,0.1000,non trascurabile
